Date,Category,Region,Revenue,Profit,Units_Sold
2025-01-01,Electronics,North,2500000,250000,500
2025-02-01,Clothing,South,1800000,180000,600
2025-03-01,Electronics,East,3000000,300000,450
2025-04-01,Furniture,West,1200000,120000,200
2025-05-01,Clothing,North,2000000,200000,550
2025-06-01,Electronics,South,2800000,280000,480
2025-07-01,Furniture,East,1500000,150000,250
2025-08-01,Clothing,West,1700000,170000,520
2025-09-01,Electronics,North,3200000,320000,510
2025-10-01,Furniture,South,1400000,140000,220
